UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,FT_UG,FT_FTUG,FTGDNIDP,PT_UG,PT_FTUG,PTGDNIDP,DOCPP,DOCPPSP,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,DISAB,XDISABPC,DISABPCT,DISTNCED,DSTNCED1,DSTNCED2,DSTNCED3
100636,0,1,0,0,0,0,4,-2,-2,74,0,0,1,0,1,0,1,0,0,0,1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,-2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,315,1,334,1,334,2,-2,1,R,25,R,35,1,1,1,1,1,1,1,1,2,1,R,658,1,R,20,R,3250,R,3400,A,.,2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,0,1,0,1,A,.,2,1,1,0
100636,1,1,-2,1,1,0,1,2,0,-2,1,1,1,1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,0,A,.,1,1,2,1,1,2,-2,-2,1,1,R,110,1,R,15,A,.,A,.,R,3200,2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,1,0,0,1,A,.,2,1,0,0
100636,1,0,-2,0,0,0,2,-2,-2,-2,0,1,0,0,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,0,0,0,1,0,0,0,0,0,0,-2,-2,-2,-2,1,-2,0,0,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,B,.,A,.,1,1,-2,2,2,-2,-2,-2,-2,2,A,.,3,A,.,A,.,A,.,A,.,2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,0,1,0,1,A,.,2,0,0,1
100636,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,0,A,.,1,1,2,1,1,2,-2,-2,1,2,A,.,3,A,.,A,.,A,.,A,.,2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,1,0,0,1,A,.,2,1,0,0
100636,1,1,-2,0,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,B,.,A,.,1,1,2,1,1,2,-2,-2,1,1,R,183,3,A,.,R,1800,A,.,A,.,2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,1,0,0,1,A,.,2,1,0,0
100636,1,1,-2,0,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,0,A,.,1,1,2,1,1,2,-2,-2,1,2,A,.,3,A,.,A,.,A,.,A,.,2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,1,0,0,1,A,.,2,1,0,0
100636,0,1,0,0,0,0,2,-2,-2,-2,0,1,1,0,1,0,0,0,0,0,0,0,2,3,3,1,3,3,3,2,2,1,2,R,54,R,36,R,46,R,28,R,14,R,13,R,15,R,1,3,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,B,.,A,.,1,1,2,1,1,2,-2,-2,2,2,A,.,3,A,.,A,.,A,.,A,.,2,R,29,R,14,R,43,R,90,R,74,R,27,R,16,1,0,0,1,0,1,A,.,2,1,1,0
100636,0,1,0,0,0,0,4,-2,-2,71,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,1,2,2,2,1,2,3,2,R,1204,R,631,R,716,R,395,R,163,R,113,R,0,R,0,2,R,52,R,19,R,256,R,93,R,428,R,500,R,408,R,513,B,.,B,.,R,19,R,24,R,18,R,23,R,17,R,23,B,.,B,.,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,335,1,335,1,335,1,360,1,R,0,A,.,1,1,2,1,1,2,-2,-2,2,1,R,549,1,R,19,A,.,A,.,R,8250,2,R,163,R,113,R,276,R,1835,R,1111,R,276,R,0,1,1,0,1,0,1,A,.,2,1,0,0
100636,0,1,0,0,0,0,4,-2,-2,74,0,0,1,0,1,0,1,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,25,R,25,1,1,1,1,1,1,-2,-2,2,1,R,46,1,R,8,R,3000,R,840,A,.,2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,0,1,0,1,A,.,2,1,1,0
100636,1,1,-2,0,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,0,A,.,1,1,2,1,1,2,-2,-2,1,2,A,.,3,A,.,A,.,A,.,A,.,2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,2,0,0,0,0,1,A,.,2,1,0,0
100636,1,1,-2,0,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,0,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,R,0,A,.,1,1,2,1,1,2,-2,-2,2,2,A,.,3,A,.,A,.,A,.,A,.,2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,2,0,0,0,0,1,A,.,2,0,0,1
100636,0,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,1,1,1,0,1,0,0,2,3,3,1,3,3,3,1,1,3,2,R,1428,R,1733,R,1148,R,1454,R,567,R,735,R,16,R,14,2,R,215,R,16,R,1200,R,90,R,430,R,540,R,430,R,540,B,.,B,.,R,19,R,26,R,19,R,27,R,17,R,24,B,.,B,.,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,126,1,126,1,126,1,126,1,R,30,R,30,1,1,1,1,1,1,-2,-2,1,1,R,1992,2,A,.,R,3550,R,4125,A,.,2,R,583,R,749,R,1332,R,3161,R,2602,R,1302,R,30,1,0,0,1,0,2,R,4,2,1,1,0
